Intent,Question,Answer
Registrar Services,What do i know about the registrar services?,"The Registrar's Office handles address updates, transcript processing, graduation applications, grade reporting, ID processing, and more."
USIU ID Card Policy,Can you tell me about usiu id card policy?,The USIU ID card must be worn at all times on campus and is required for identification. It must be surrendered when leaving the university.
USIU ID Card Policy,What should i know about usiu id card policy?,The USIU ID card must be worn at all times on campus and is required for identification. It must be surrendered when leaving the university.
ID Card Replacement,Can you tell me about id card replacement?,Report the incident to the police and obtain a police abstract. Replacement costs Ksh. 500 with an abstract or Ksh. 1500 otherwise.
ID Card Replacement,How can I replace my school id card ?,Report the incident to the police and obtain a police abstract. Replacement costs Ksh. 500 with an abstract or Ksh. 1500 otherwise.
Degree Certificate Replacement,Can you tell me about degree certificate replacement?,"Submit an affidavit, the original certificate (if available), supporting documents, and a cover letter to the Registrar's Office."
Degree Certificate Replacement,How can I replace my degree certificate replacement?,"Submit an affidavit, the original certificate (if available), supporting documents, and a cover letter to the Registrar's Office."
International Students Office,Can you tell me about international students office?,"It provides orientation, handles specific concerns, and coordinates exchange/study abroad programs for international students."
Student Hostels,Can you tell me about student hostels?,"Yes, USIU offers on-campus hostels with double occupancy rooms and shared social spaces for international and out-of-town students."
Student Hostels,Does USIU have student hostels?,"Yes, USIU offers on-campus hostels with double occupancy rooms and shared social spaces for international and out-of-town students."
Student Sports,Can you tell me about student sports?,"USIU supports both competitive and participatory sports, including basketball, swimming, rugby, tennis, and athletics."
Student Sports,Is there my student sports?,"USIU supports both competitive and participatory sports, including basketball, swimming, rugby, tennis, and athletics."
Student Clubs and Activities,Can you tell me about student clubs and activities?,"Join registered clubs through SAC and engage in leadership, fundraising, and skill development activities."
Student Clubs and Activities,What is available for  student clubs and activities?,"Join registered clubs through SAC and engage in leadership, fundraising, and skill development activities."
Counseling Services,Can you tell me about counseling services?,"The Counseling Center offers personal, group, and career counseling, as well as life skills development and awareness programs."
Counseling Services,Is there counseling services?,"The Counseling Center offers personal, group, and career counseling, as well as life skills development and awareness programs."
AIDS Control Unit (ACU),Can you tell me about aids control unit (acu)?,"The ACU coordinates HIV/AIDS awareness, prevention, curriculum development, and outreach programs on and off campus."
